range,time_taken
5000,0.00029999973776284605
10000,0.00039999977161642164
15000,0.00010000003385357559
20000,0.00010000003385357559
25000,0.00020000006770715117
30000,0.00030000010156072676
35000,0.00039999977161642164
40000,0.00030000010156072676
45000,0.00029999973776284605
50000,0.00010000003385357559
55000,0.00020000006770715117
60000,0.00019999970390927047
65000,0.00020000006770715117
70000,0.00019999970390927047
75000,0.00040000013541430235
80000,0.00029999973776284605
85000,0.00020000006770715117
90000,0.00019999970390927047
95000,0.00040000013541430235
